Vehicle,Days,Distance,HardBrakes,HardAccelerations,NightTime_Pct,VehicleType,Loss
52,365,10423,20,106,0.004,SUV,0
53,365,7472,34,16,0.027,Car,0
54,365,7183,9,75,0.072,Car,0
55,365,10912,14,56,0.017,Truck,0
56,365,12609,332,63,0.001,Car,0
57,365,14485,32,9,0.001,Car,1
58,365,18316,62,22,0,Car,0
59,365,12969,38,239,0.005,SUV,0
60,365,13056,130,76,0,Car,0
61,365,10995,115,296,0.002,Truck,0
62,365,17005,410,48,0.168,Truck,0
63,365,11243,231,10,0.027,SUV,0
64,365,11444,164,7,0.013,Truck,0
65,365,13981,104,14,0.001,Car,0
66,365,13717,26,236,0.029,Car,0
67,365,9002,6,2,0.093,Truck,0
68,365,12364,31,20,0.064,Truck,0
69,365,6334,118,22,0,SUV,0
70,365,10925,173,7,0.05,SUV,0
71,365,7910,23,18,0.043,Truck,0
72,365,11282,145,130,0.001,Car,0
73,365,15995,414,20,0.099,SUV,0
74,365,8972,266,112,0.022,Truck,0
75,365,9228,176,80,0.002,Car,0
76,365,17843,49,98,0.005,Truck,0
77,365,16634,44,24,0.035,Car,0
78,365,9339,9,7,0,Car,0
79,365,11083,188,182,0.076,SUV,0
80,365,13146,191,123,0.005,Car,0
81,365,15130,103,89,0.018,Car,0
82,365,11942,64,255,0.045,Car,0
83,365,10239,228,190,0.089,Car,0
84,365,17404,44,152,0,SUV,0
85,365,16917,381,172,0.037,Car,0
86,365,15817,48,59,0,SUV,0
87,365,14710,10,87,0,Truck,0
88,365,12708,195,80,0.007,SUV,0
89,365,12151,414,353,0.02,SUV,0
90,365,12251,3,9,0,Minivan,0
91,365,13215,139,29,0.013,Car,0
92,365,7142,96,34,0.002,Truck,0
93,365,9059,254,9,0,SUV,0
94,365,7962,65,46,0.044,Truck,0
95,365,13825,240,28,0.025,Truck,0
96,365,6324,15,2,0.186,Car,0
97,365,10007,94,22,0.037,Car,0
98,365,16962,101,25,0,Car,0
99,365,17251,294,44,0,SUV,0
100,365,14870,368,25,0.005,Car,0
101,365,14164,121,61,0.01,Car,0
102,365,9226,289,49,0.264,SUV,0
103,365,27533,612,411,0.012,Car,0
104,365,12034,231,6,0.01,Car,1
105,365,12214,22,0,0.001,Car,0
106,365,14569,84,178,0.045,Truck,0
107,365,12237,11,238,0.062,Truck,0
108,365,6332,139,108,0.076,Truck,0
109,365,13536,64,4,0.024,Truck,0
110,365,12552,66,311,0.054,Car,0
111,365,9275,28,9,0.003,SUV,0
112,365,9044,180,95,0.008,Car,0
113,365,8435,115,44,0.054,Truck,0
114,365,19651,146,159,0.009,Truck,1
115,365,14356,365,25,0,Car,0
116,365,12483,169,167,0.006,Truck,0
117,365,11173,32,48,0,Truck,0
118,365,18742,213,785,0,SUV,0
119,365,15425,92,215,0.012,Car,1
120,365,13725,141,11,0.028,Car,0
121,365,16175,40,144,0.003,SUV,0
122,365,14846,11,79,0.019,Car,0
123,365,22227,51,693,0,SUV,0
124,365,8856,64,313,0.004,Car,0
125,365,12046,15,101,0.003,Truck,0
126,365,8111,38,3,0.001,Car,0
127,365,17498,530,350,0.004,Truck,1
128,365,8500,46,56,0,Car,0
129,365,16460,18,76,0.063,SUV,0
130,365,4112,160,14,0,SUV,0
131,365,8260,173,119,0.017,SUV,0
132,365,14345,221,39,0,Truck,0
133,365,10710,68,9,0.041,SUV,0
134,365,19477,109,47,0,Truck,0
135,365,11144,7,13,0.072,SUV,0
136,365,10868,99,59,0,SUV,0
137,365,11617,95,96,0,Truck,0
138,365,11150,21,13,0.066,Truck,0
139,365,19868,40,429,0.021,Truck,1
140,365,9299,35,35,0.019,SUV,0
141,365,17944,77,30,0.07,Car,0
142,365,7725,58,17,0.022,Minivan,0
143,365,9966,275,39,0.014,Truck,0
144,365,12622,99,10,0,Truck,1
145,365,12485,92,80,0.014,Truck,0
146,365,15783,40,122,0.012,Truck,0
147,365,10592,144,15,0.027,Car,0
148,365,21850,305,148,0.081,SUV,0
149,365,20908,54,72,0.014,Car,0
150,365,11806,79,30,0,SUV,0
151,365,15098,36,214,0,Car,0
152,365,15462,77,3,0.088,Car,1
153,365,7630,55,131,0.043,Car,0
154,365,15225,282,0,0.091,SUV,1
155,365,17919,624,80,0.008,SUV,0
156,365,14206,52,258,0.029,Car,0
157,365,15612,325,37,0,Truck,1
158,365,12207,127,20,0.147,Truck,0
159,365,18208,46,54,0.031,Minivan,0
160,365,14537,42,4,0.01,SUV,0
161,365,13749,0,224,0.044,SUV,0
162,365,13788,28,167,0.164,SUV,0
163,365,11846,42,71,0.015,Truck,0
164,365,11488,180,53,0.003,Car,0
165,365,10287,10,51,0.001,SUV,0
166,365,12699,14,39,0,Truck,1
167,365,13717,17,16,0,SUV,0
168,365,10693,3,24,0.007,Truck,0
169,365,17910,192,70,0.019,SUV,0
170,365,9070,141,199,0,Car,0
171,365,10202,319,266,0.01,Car,0
172,365,13913,38,16,0.065,SUV,1
173,365,8449,119,12,0.199,Truck,0
174,365,12808,44,152,0.071,Truck,0
175,365,10746,178,26,0.3,Truck,0
176,365,7312,76,82,0,SUV,0
177,365,12242,54,80,0.065,Car,0
178,365,14528,5,54,0.197,Truck,1
179,365,12565,26,64,0,SUV,0
180,365,20439,34,82,0,Car,0
181,365,14301,72,65,0.043,Minivan,1
182,365,8974,217,12,0.143,SUV,0
183,365,23586,97,368,0.044,Truck,0
184,365,17380,200,22,0,SUV,0
185,365,9328,103,34,0.001,SUV,0
186,365,10182,65,43,0,SUV,0
187,365,21544,14,10,0.064,SUV,0
188,365,9486,25,86,0,Car,0
189,365,15742,99,143,0.009,Car,0
190,365,8716,97,39,0.008,Truck,0
191,365,7971,31,330,0.022,SUV,0
192,365,11567,60,106,0.038,Car,1
193,365,7499,29,71,0.075,SUV,0
194,365,15554,342,37,0.008,SUV,0
195,365,10386,207,24,0,Car,0
196,365,16892,388,88,0.016,Car,0
197,365,10371,280,63,0,SUV,0
198,365,12196,112,68,0.026,Truck,0
199,365,6029,184,14,0.07,Car,0
200,365,8953,99,113,0,Truck,0
201,365,13256,91,164,0,Truck,1
202,365,18314,47,56,0.006,SUV,1
203,365,10593,22,38,0.078,SUV,0
204,365,9060,546,13,0.005,Truck,0
205,365,13522,48,108,0.045,Truck,0
206,365,15587,36,115,0.014,SUV,0
207,365,17953,55,601,0.016,Car,0
208,365,14119,119,30,0,Truck,0
209,365,9638,147,209,0.018,SUV,0
210,365,11382,147,96,0.002,Car,1
211,365,11002,215,164,0,SUV,0
212,365,9906,158,487,0.035,Truck,1
213,365,11099,68,146,0.024,SUV,1
214,365,8385,195,26,0.027,SUV,0
215,365,7831,2,108,0.01,SUV,0
216,365,14481,189,138,0.026,Truck,0
217,365,11119,154,12,0.002,SUV,0
218,365,14025,401,38,0.001,Truck,1
219,365,11261,96,22,0.004,Car,0
220,365,23792,2,34,0.059,Car,0
221,365,16529,22,1,0.001,Truck,0
222,365,13014,282,17,0,SUV,1
223,365,12357,111,36,0.003,Truck,0
224,365,10685,56,266,0,Truck,0
225,365,5780,7,62,0,Truck,0
226,365,16477,33,132,0.071,Minivan,0
227,365,14301,143,48,0.001,Minivan,0
228,365,5406,38,4,0.006,Truck,0
229,365,10552,0,38,0.7,Truck,0
230,365,8137,127,104,0.132,Car,0
231,365,14269,373,52,0.06,Minivan,0
232,365,12562,186,54,0,Car,1
233,365,8387,7,3,0,Car,0
234,365,11871,335,79,0.011,Truck,0
235,365,18954,911,449,0,Minivan,0
236,365,16504,212,19,0.036,Car,0
237,365,14742,94,80,0,Truck,0
238,365,15361,422,0,0.033,Car,0
239,365,7649,128,44,0.011,Truck,0
240,365,11608,264,61,0.005,Car,0
241,365,8990,12,19,0.004,Truck,0
242,365,7185,14,65,0,Truck,0
243,365,12150,43,278,0.007,Truck,1
244,365,11106,56,4,0.046,Truck,1
245,365,13965,343,185,0.047,SUV,0
246,365,12383,34,529,0,Car,0
247,365,19427,141,1,0.063,Car,1
248,365,9365,110,57,0.019,Truck,0
249,365,20693,113,97,0.023,SUV,1
250,365,11996,74,22,0.001,Truck,0
251,365,13576,195,252,0.018,SUV,0
252,365,10181,50,32,0,SUV,0
253,365,10406,27,101,0.035,Truck,0
254,365,11072,593,301,0.006,Truck,1
255,365,17790,251,234,0,Minivan,0
256,365,19185,2,35,0.004,Car,0
257,365,15250,89,29,0.002,Car,1
258,365,15831,27,429,0.002,Truck,0
259,365,16386,211,76,0.007,SUV,0
260,365,9369,155,174,0.005,SUV,0
261,365,13891,136,439,0.005,Car,0
262,365,14946,251,137,0,Minivan,0
263,365,16798,505,24,0.051,Truck,0
264,365,11326,63,403,0.013,SUV,0
265,365,17190,57,77,0.024,Car,0
266,365,15633,101,4,0.003,Truck,0
267,365,14548,17,195,0,Car,0
268,365,8299,60,14,0.012,Truck,1
269,365,11418,10,77,0,Truck,0
270,365,11959,73,10,0,Car,0
271,365,17777,376,206,0,SUV,1
272,365,9559,23,75,0,Truck,0
273,365,8988,107,7,0.015,SUV,0
274,365,20656,355,449,0.016,SUV,0
275,365,15629,25,145,0,Truck,0
276,365,23828,614,361,0.015,Car,1
277,365,18787,256,233,0.059,SUV,1
278,365,15404,148,299,0.044,Truck,0
279,365,8780,256,7,0.004,SUV,0
280,365,16224,189,151,0.101,Truck,0
281,365,13069,184,166,0.007,Truck,0
282,365,4644,47,20,0.008,Truck,0
283,365,9073,751,40,0.022,Truck,0
284,365,6929,44,30,0.019,Car,0
285,365,14651,104,75,0.013,Truck,0
286,365,14071,542,97,0.029,Car,0
287,365,8656,228,9,0.045,Minivan,0
288,365,22746,423,12,0.029,Truck,0
289,365,15094,297,89,0,Truck,1
290,365,15533,131,292,0.002,Truck,0
291,365,18728,694,244,0.038,Car,0
292,365,10197,112,107,0.001,Truck,0
293,365,16020,41,107,0.001,SUV,0
294,365,15726,72,196,0.139,Car,0
295,365,11801,281,26,0,SUV,0
296,365,19214,36,46,0,Truck,0
297,365,10261,0,66,0,Car,0
298,365,17593,129,23,0.001,SUV,0
299,365,14603,146,1,0.001,SUV,0
300,365,10751,11,16,0.028,SUV,0
301,365,17340,50,101,0.094,Truck,0
302,365,12161,14,26,0.003,Truck,0
303,365,18813,366,158,0.052,Car,0
304,365,7225,42,9,0.185,Minivan,0
305,365,6970,118,19,0.022,Truck,0
306,365,13748,90,143,0,SUV,0
307,365,6075,62,59,0.069,Truck,0
308,365,9826,208,6,0,Car,0
309,365,12755,120,111,0.42,SUV,0
310,365,14942,167,207,0.01,Car,0
311,365,12062,43,6,0,Car,0
312,365,9161,64,17,0.038,Minivan,0
313,365,16917,486,15,0.067,SUV,0
314,365,14020,146,6,0.003,Car,0
315,365,10277,10,1,0.001,Truck,0
316,365,16989,16,60,0,Car,0
317,365,20712,67,21,0.012,Truck,1
318,365,11484,2,142,0,SUV,0
319,365,18419,62,9,0,Car,1
320,365,15495,104,126,0,Truck,0
321,365,9507,81,27,0.021,Car,0
322,365,16262,66,21,0.026,Truck,0
323,365,16610,220,88,0.061,Truck,0
324,365,17048,110,56,0.059,Car,0
325,365,21317,154,143,0.048,Car,0
326,365,15497,68,689,0,Truck,0
327,365,18698,89,117,0.005,Minivan,0
328,365,16170,156,60,0.061,Truck,0
329,365,17659,42,188,0.001,Truck,0
330,365,15853,129,6,0,SUV,1
331,365,7548,20,73,0.001,SUV,0
332,365,11299,3,60,0,Truck,0
333,365,13863,393,111,0.004,SUV,0
334,365,10171,86,145,0.001,SUV,0
335,365,7080,176,40,0.006,Car,0
336,365,12338,18,156,0,Truck,0
337,365,11235,157,86,0.049,SUV,1
338,365,9983,1,0,0.005,Car,0
339,365,21414,83,517,0.035,Car,1
340,365,13674,190,93,0,SUV,0
341,365,11895,141,127,0,Car,0
342,365,12510,48,172,0.075,Truck,0
343,365,16874,84,137,0.057,Truck,1
344,365,20490,134,252,0.029,Car,0
345,365,15211,127,35,0,Car,0
346,365,15833,146,387,0,Car,0
347,365,9821,190,36,0.085,SUV,0
348,365,12973,469,503,0,SUV,0
349,365,13849,20,11,0.016,Car,1
350,365,13849,107,59,0.143,Truck,0
351,365,15676,4,31,0.025,SUV,0
352,365,12825,151,33,0.122,Truck,0
353,365,19229,138,26,0.01,Truck,0
354,365,14300,202,150,0.005,Car,0
355,365,17245,18,94,0.003,Car,1
356,365,16254,241,22,0.004,Truck,0
357,365,9044,30,166,0,Truck,0
358,365,16205,35,317,0,Minivan,0
359,365,17597,29,28,0.009,Truck,0
360,365,6110,115,214,0.061,Truck,0
361,365,7992,42,37,0.028,Truck,0
362,365,12855,91,116,0.008,Truck,0
363,365,18418,105,203,0.167,SUV,0
364,365,15353,377,482,0.074,Truck,0
365,365,9454,392,177,0.012,Truck,0
366,365,19653,58,39,0,Truck,1
367,365,7969,64,15,0.183,Car,0
368,365,18216,81,481,0,Truck,0
369,365,12798,48,7,0.001,SUV,0
370,365,15933,454,85,0.08,Car,0
371,365,19070,135,38,0.002,Truck,0
372,365,10879,21,23,0.001,SUV,0
373,365,9596,10,70,0,Truck,0
374,365,7129,168,16,0,Car,0
375,365,11026,58,29,0,SUV,0
376,365,15600,359,315,0.012,Truck,0
377,365,11970,27,73,0,Truck,0
378,365,9835,25,7,0,Truck,0
379,365,15087,126,168,0.001,Car,0
380,365,17183,216,18,0.023,Car,0
381,365,12273,50,93,0.092,Car,0
382,365,21301,146,81,0.15,Truck,0
383,365,13179,236,6,0.082,SUV,0
384,365,9831,142,28,0.001,Truck,0
385,365,8862,2,8,0.033,Car,0
386,365,4644,27,6,0.063,Truck,0
387,365,15746,115,3,0.005,SUV,0
388,365,9127,53,403,0.004,SUV,0
389,365,10106,20,13,0.001,Minivan,0
390,365,9048,32,112,0.006,Truck,0
391,365,16113,236,98,0.009,Truck,0
392,365,14439,43,39,0.007,Truck,0
393,365,16404,30,419,0.059,Car,0
394,365,9525,161,41,0,Truck,0
395,365,11505,161,26,0.035,Truck,0
396,365,7968,239,160,0.017,Car,0
397,365,10827,432,65,0.002,Truck,0
398,365,24321,2060,116,0.001,Car,0
399,365,14899,210,176,0.141,SUV,1
400,365,14144,51,195,0.036,Truck,0
401,365,15524,52,218,0,Car,0
402,365,11226,8,13,0.121,Truck,0
403,365,22519,627,1323,0,SUV,1
404,365,17570,103,3,0.01,Truck,0
405,365,16634,24,15,0.01,SUV,0
406,365,23688,339,227,0,Minivan,0
407,365,11554,119,49,0.004,SUV,0
408,365,9000,29,31,0,Truck,0
409,365,16762,167,26,0.087,Car,1
410,365,10125,339,11,0.066,SUV,0
411,365,11382,4,34,0,Truck,1
412,365,11818,47,7,0,Car,0
413,365,10838,175,9,0.009,Truck,0
414,365,18803,161,6,0.003,SUV,0
415,365,22073,166,254,0.045,SUV,1
416,365,16556,34,63,0.029,Car,0
417,365,14839,116,39,0.048,SUV,0
418,365,15856,108,6,0.078,Truck,0
419,365,10924,6,73,0,Car,0
420,365,10486,19,160,0.003,Truck,1
421,365,12766,25,103,0.009,Car,0
422,365,11163,0,1,0,Car,0
423,365,20278,147,132,0.004,SUV,0
424,365,17238,183,14,0.127,Car,1
425,365,21045,266,116,0.006,Car,1
426,365,21378,137,5,0.042,Car,0
427,365,15553,71,65,0,Truck,0
428,365,17074,147,40,0,Car,0
429,365,17589,83,45,0.042,SUV,0
430,365,22666,120,417,0.014,Minivan,0
431,365,14058,8,173,0.002,Truck,0
432,365,15330,70,246,0.021,Truck,0
433,365,15293,44,26,0.004,Minivan,0
434,365,11129,115,52,0.002,Car,0
435,365,12842,278,3,0.011,Car,0
436,365,9858,13,21,0,Truck,0
437,365,9793,232,99,0,Minivan,0
438,365,10908,454,63,0,Car,0
439,365,10499,35,75,0.077,Car,0
440,365,11119,131,376,0,Car,0
441,365,10735,182,17,0.029,Truck,0
442,365,13467,222,37,0.004,Car,1
443,365,9631,162,122,0.001,Car,0
444,365,11710,465,126,0.062,Truck,0
445,365,31451,116,365,0.01,Truck,1
446,365,17638,179,26,0.021,SUV,1
447,365,13248,309,88,0,Truck,0
448,365,7908,16,18,0,Truck,0
449,365,13272,67,83,0,Car,1
450,365,12612,125,49,0.032,Car,0
451,365,13624,134,1,0.031,SUV,0
452,365,17667,1,200,0.071,Truck,0
453,365,8190,62,69,0.002,SUV,0
454,365,17195,65,189,0.041,Truck,0
455,365,14709,98,84,0.042,Car,0
456,365,11394,82,70,0.08,Truck,0
457,365,8118,128,20,0.007,SUV,1
458,365,19050,115,216,0.001,Minivan,1
459,365,15347,259,129,0,Truck,0
460,365,12059,25,11,0.001,Truck,0
461,365,16209,197,251,0.05,Car,1
462,365,13148,366,144,0,Car,0
463,365,11370,126,86,0.004,Car,0
464,365,16545,31,491,0.012,Car,0
465,365,10188,119,126,0.013,Car,0
466,365,15895,173,283,0.01,Truck,0
467,365,14868,315,7,0.024,Truck,0
468,365,10744,26,51,0.001,Truck,0
469,365,11068,7,12,0.001,Minivan,0
470,365,21004,39,0,0,Car,0
471,365,11360,118,15,0.003,Truck,0
472,365,8861,25,10,0.001,Car,0
473,365,15276,42,67,0.02,Truck,0
474,365,14653,251,62,0.003,SUV,0
475,365,8630,37,34,0.001,Truck,0
476,365,16319,324,272,0.009,Truck,0
477,365,23535,284,1096,0.008,SUV,0
478,365,8627,188,18,0.004,SUV,0
479,365,10601,77,19,0.149,SUV,1
480,365,14883,139,120,0.001,SUV,0
481,365,13283,48,6,0.001,Truck,0
482,365,8942,390,25,0.008,Car,0
483,365,20494,148,781,0.008,Truck,0
484,365,17542,11,48,0.004,Truck,0
485,365,11026,162,18,0,Truck,0
486,365,9853,45,155,0.058,SUV,1
487,365,13706,91,54,0.079,Truck,0
488,365,12665,80,29,0.011,Car,0
489,365,9492,236,39,0.001,SUV,0
490,365,10067,13,75,0.032,Truck,0
491,365,6321,142,112,0.006,Minivan,0
492,365,7517,101,48,0.076,Truck,0
493,365,15278,252,264,0,SUV,0
494,365,11325,119,41,0.004,SUV,0
495,365,15777,287,117,0.002,Truck,0
496,365,11933,20,25,0.071,Car,0
497,365,14562,401,141,0.058,SUV,0
498,365,13488,64,182,0.013,Car,0
499,365,10697,87,35,0.021,Truck,0
500,365,12382,518,2,0.027,Truck,0
501,365,12405,131,78,0.03,Car,0
502,365,14490,104,205,0.028,Truck,0
503,365,18734,89,7,0.012,Truck,0
504,365,9988,71,90,0,SUV,0
505,365,11520,32,159,0,Truck,0
506,365,14315,35,10,0.068,SUV,0
507,365,23894,124,103,0.003,Truck,0
508,365,13511,71,340,0.019,Truck,1
509,365,10546,350,112,0.011,Car,0
510,365,10518,109,217,0.003,Truck,0
511,365,12867,149,39,0.046,Minivan,0
512,365,12017,11,172,0,Car,0
513,365,6261,12,23,0.017,Car,0
514,365,14386,2,469,0,Truck,0
515,365,11491,164,147,0.002,Truck,0
516,365,10535,100,125,0.095,Car,0
517,365,12147,64,81,0,SUV,0
518,365,14905,152,153,0.006,SUV,0
519,365,15369,225,329,0,Car,0
520,365,15144,382,72,0.015,Car,0
521,365,19191,0,11,0,Truck,0
522,365,12993,190,531,0.005,Minivan,0
523,365,9737,153,38,0,Car,0
524,365,18261,280,4,0.001,SUV,0
525,365,12281,45,56,0.033,Truck,0
526,365,10969,506,11,0.002,Car,0
527,365,20976,72,420,0.002,Car,0
528,365,10293,24,144,0.016,Car,0
529,365,15540,300,86,0.224,SUV,0
530,365,14310,255,85,0.092,Car,0
531,365,17190,368,42,0,Truck,0
532,365,17164,411,400,0.001,Truck,1
533,365,15813,53,136,0.026,Car,0
534,365,16159,14,380,0.007,Car,0
535,365,25691,143,21,0.101,Truck,0
536,365,10772,64,11,0.016,SUV,0
537,365,13160,159,3,0.03,SUV,0
538,365,13509,425,9,0.047,Truck,1
539,365,9413,8,60,0.01,Car,0
540,365,10803,1,1,0.007,Car,0
541,365,17552,170,5,0.009,SUV,0
542,365,12927,58,3,0.055,Truck,0
543,365,6214,14,154,0,SUV,0
544,365,15321,76,158,0.001,Truck,0
545,365,5495,11,7,0,Truck,0
546,365,9379,146,59,0.002,Truck,0
547,365,16201,28,18,0.002,Truck,0
548,365,23515,455,141,0.076,Truck,0
549,365,13420,70,38,0,Truck,1
550,365,17198,174,257,0,SUV,1
551,365,11639,50,84,0.005,SUV,0
552,365,15479,390,96,0,Car,0
553,365,15749,6,110,0.009,Car,1
554,365,12552,683,23,0.001,SUV,1
555,365,10043,115,166,0,Truck,0
556,365,9438,148,201,0.001,SUV,0
557,365,11617,102,124,0.005,Car,0
558,365,14476,47,59,0.123,Truck,0
559,365,21751,96,105,0.002,Truck,0
560,365,17447,355,19,0.003,Truck,0
561,365,8386,219,37,0,Car,0
562,365,11727,7,26,0,Truck,0
563,365,6069,20,34,0.001,Car,0
564,365,11341,286,74,0.005,Car,0
565,365,12865,245,15,0.084,Truck,0
566,365,15453,15,14,0.022,Car,0
567,365,9486,121,507,0.001,SUV,0
568,365,13695,328,103,0.068,SUV,1
569,365,9245,261,58,0,Truck,0
570,365,22693,4,76,0.005,Truck,0
571,365,14287,129,56,0,Truck,0
572,365,8846,302,1,0.05,Car,0
573,365,14749,129,299,0.002,Car,0
574,365,10712,88,36,0.108,SUV,0
575,365,6881,32,23,0.006,SUV,0
576,365,12748,46,272,0.008,Truck,0
577,365,16562,254,120,0.001,Car,1
578,365,12711,48,52,0.054,Car,0
579,365,14847,206,109,0.003,Minivan,0
580,365,14009,181,279,0.135,Truck,0
581,365,20457,50,12,0,Truck,0
582,365,20007,566,135,0,Car,0
583,365,9909,391,417,0.037,Car,0
584,365,14299,70,67,0,Truck,1
585,365,17162,15,59,0.024,Car,0
586,365,17466,322,66,0,Car,0
587,365,8880,25,79,0.01,SUV,0
588,365,11404,140,22,0.003,Truck,0
589,365,9382,104,48,0.018,SUV,0
590,365,11778,218,271,0,Car,0
591,365,6403,64,19,0,Car,0
592,365,12701,190,109,0.003,Truck,0
593,365,5933,10,78,0.001,SUV,0
594,365,10773,79,12,0.003,SUV,0
595,365,21102,222,31,0,Truck,0
596,365,10240,37,99,0.004,Truck,0
597,365,12777,387,102,0,SUV,0
598,365,9311,233,29,0,SUV,0
599,365,16296,324,78,0.003,Truck,0
600,365,6706,26,4,0.078,Car,0
601,365,19453,70,115,0.072,Minivan,0
602,365,9495,133,9,0,Truck,1
603,365,9956,684,4,0.004,SUV,0
604,365,7378,12,109,0.033,Truck,1
605,365,9566,74,60,0.006,Truck,0
606,365,8569,102,15,0.034,Truck,0
607,365,13834,47,132,0.002,SUV,0
608,365,7477,104,53,0.05,SUV,0
609,365,7070,17,8,0,Car,0
610,365,9529,144,73,0.006,Truck,0
611,365,14353,179,25,0,SUV,0
612,365,6678,51,23,0.028,Truck,0
613,365,16711,72,226,0.002,Truck,1
614,365,15072,145,113,0,Car,0
615,365,12995,298,116,0.003,Truck,1
616,365,8565,86,133,0.005,Truck,0
617,365,20186,327,1,0.001,Truck,1
618,365,10027,297,15,0,SUV,0
619,365,18160,115,207,0.092,Car,0
620,365,9041,21,122,0.054,SUV,0
621,365,5825,83,140,0.079,Car,0
622,365,8238,95,91,0,Truck,0
623,365,20430,165,220,0.005,Car,1
624,365,8969,32,187,0,Car,0
625,365,9944,115,30,0.065,Truck,1
626,365,5015,13,2,0.038,SUV,0
627,365,14321,239,24,0,Truck,0
628,365,10155,42,81,0.016,SUV,0
629,365,13148,63,12,0,Truck,0
630,365,21856,87,3,0.12,Car,0
631,365,13679,118,143,0.075,SUV,0
632,365,10183,69,44,0.103,SUV,1
633,365,15401,72,153,0.003,SUV,0
634,365,14720,14,25,0.013,Truck,0
635,365,8691,55,4,0.021,Truck,0
636,365,11214,81,52,0,Minivan,0
637,365,15047,44,46,0,Truck,0
638,365,10009,11,71,0.016,Car,0
639,365,13992,28,39,0.078,Truck,0
640,365,15345,120,461,0.013,SUV,0
641,365,13209,62,188,0.003,Car,0
642,365,18292,23,46,0.001,Car,0
643,365,14294,490,151,0.002,SUV,0
644,365,6590,18,36,0.175,SUV,0
645,365,12953,12,5,0.028,Truck,0
646,365,9731,87,107,0,Car,0
647,365,19479,61,126,0.038,Truck,0
648,365,13816,406,65,0,Truck,0
649,365,14140,44,15,0.066,Car,0
650,365,15537,102,2,0.02,Truck,0
651,365,20938,120,10,0.026,Car,0
652,365,5243,0,64,0,SUV,0
653,365,15116,161,319,0.003,SUV,0
654,365,16659,103,92,0.002,Truck,0
655,365,7963,9,10,0.042,Car,0
656,365,15365,56,391,0,Car,1
657,365,9264,85,156,0.006,Car,0
658,365,7420,96,3,0,Truck,0
659,365,10617,63,25,0.001,Truck,1
660,365,14445,32,14,0.14,SUV,0
661,365,20088,776,79,0.005,Car,0
662,365,11604,17,11,0.046,Truck,0
663,365,16414,130,202,0.117,Car,0
664,365,15296,19,11,0,Truck,1
665,365,15424,37,190,0,SUV,0
666,365,16136,0,119,0,Car,0
667,365,9133,45,47,0.02,SUV,1
668,365,8519,129,104,0,SUV,0
669,365,14618,144,838,0,Truck,1
670,365,10766,330,18,0.019,SUV,0
671,365,17266,343,154,0,SUV,0
672,365,5489,84,8,0.008,Truck,0
673,365,15327,492,9,0,Minivan,1
674,365,23225,826,90,0.018,Minivan,0
675,365,11152,38,154,0.016,Truck,0
676,365,16987,225,23,0,Car,0
677,365,14236,13,149,0,SUV,0
678,365,20775,781,73,0.068,Truck,0
679,365,16965,314,167,0.002,Truck,0
680,365,20483,44,9,0.003,Minivan,0
681,365,19583,206,169,0,Truck,1
682,365,16973,93,76,0.001,Truck,0
683,365,8826,45,4,0.04,SUV,0
684,365,11697,347,96,0,Car,0
685,365,12115,74,95,0.003,Car,0
686,365,5862,10,2,0.023,Car,0
